id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Autumn Letters,Wren & Hollow,folk,nostalgic,0.33,86,0.52,0.44,0.81
12,Iron Cage,Grave Circuit,metal,angry,0.97,168,0.29,0.55,0.03
13,Concerto for Rain,Elena Voss,classical,peaceful,0.22,64,0.58,0.20,0.95
14,Golden Horizon,Marcus Vale,hip hop,triumphant,0.80,96,0.74,0.85,0.12
15,Island Sway,Sunny Tide,reggae,relaxed,0.45,88,0.80,0.70,0.40
16,Velvet Whisper,Simone Rae,r&b,romantic,0.50,72,0.68,0.61,0.55
17,Dusty Highway,Cole Bennett,country,melancholic,0.40,100,0.38,0.50,0.62
18,Neon Pulse Overdrive,Kilowatt,edm,energetic,0.95,140,0.83,0.90,0.06
